negative,neutral,positive,word
12,4,7,homework
60,35,37,asks
294,280,302,help
66,39,38,total
128,87,67,kid
322,269,271,understand
758,935,702,little
4,0,1,brats
5,1,1,snot
5,1,5,smacked
47,54,64,grew
478,417,319,kind
500,363,399,without
339,367,451,place
170,193,216,small
40,33,43,tiny
1,0,0,bulked
12,4,4,bully
10,8,7,deliberate
29,29,25,cruel
13,18,32,delight
175,20,25,fucking
197,241,260,lives
36,22,20,apparent
343,212,214,reason
2,2,0,grownups
36,23,26,centered
25,3,1,idiots
12,10,6,kevin
179,139,126,call
29,39,54,genius
1061,770,675,never
93,42,55,listen
265,206,177,try
43,31,40,adults
44,16,8,unrealistic
30,5,4,stupidity
422,433,252,pretty
80,14,14,dumb
566,789,619,though
410,601,633,history
51,44,43,lose
7,7,8,willingness
7,4,1,bust
22,25,24,rough
280,70,46,boring
20,54,41,mainly
247,179,179,doing
159,78,60,thinks
34,36,25,risk
1,1,1,taker
17,16,14,fights
145,105,99,ends
41,30,57,results
8,6,7,disastrous
373,278,299,use
13,13,10,deserved
35,19,41,revenge
1,1,0,backfires
1,4,1,swallows
140,113,131,starts
62,57,82,growing
2,0,1,exponential
12,7,40,panic
5,2,4,instructed
68,45,61,rule
10,16,18,lol
76,91,111,copy
1,0,1,hitchhiker
54,76,92,guide
16,9,8,galaxy
1,0,2,degenerates
68,112,96,local
68,65,64,playing
19,32,19,baseball
1,0,0,kites
26,22,25,trees
41,17,0,lame
1254,1030,1052,way
177,158,138,ending
259,54,34,stupid
141,73,100,dog
98,103,98,named
1,0,0,dogface
256,174,262,name
29,21,26,scary
78,27,18,badly
165,98,95,telling
533,454,329,enough
44,50,64,showing
51,29,47,passage
61,56,81,miss
1,0,0,eells
32,30,30,anthony
16,10,22,emerson
246,247,288,came
299,383,236,felt
3,1,0,dizzy
215,304,328,death
75,103,81,quick
25,4,9,google
67,74,68,search
42,51,63,discovered
2,5,0,bellairs
81,109,98,died
230,123,72,guess
11,21,7,unfinished
20,16,5,manuscript
6,1,1,hastily
3,1,0,cobbled
242,261,269,together
52,24,46,print
36,34,21,noticed
119,88,103,secret
12,25,16,underground
142,122,93,room
63,58,50,plenty
51,36,18,creepy
6,14,16,characteristic
22,14,31,charm
192,209,231,lost
60,62,73,touch
161,220,267,age
136,127,175,america
218,125,169,christian
1,1,0,theocracy
75,29,54,christianity
94,79,104,popular
363,320,329,mind
3,1,1,boggles
26,10,14,abortion
40,37,38,equal
55,69,73,rights
8,3,3,gays
2,2,3,outlawed
10,5,5,hmm
2,0,0,elseworlds
95,195,208,century
125,122,152,reality
48,51,50,higher
223,187,277,power
107,82,95,killed
19,16,16,bruce
6,11,0,wayne
2,0,1,dissidents
153,142,154,working
4,1,9,dogma
34,12,26,sheer
10,1,4,audacity
13,8,15,practicing
8,8,9,charity
1,3,4,experimenting
1,0,1,mengele
787,522,394,going
39,25,15,dress
14,9,5,bat
13,10,10,vengeance
28,26,15,alternate
62,47,44,biggest
267,48,42,worst
7,1,0,numbingly
130,134,158,becomes
29,33,16,batman
19,5,5,inane
1,1,0,contrivances
186,218,205,worth
13,9,12,listing
8,8,9,enters
151,47,33,horrible
16,10,28,experiments
68,113,126,famous
130,94,39,guys
6,4,9,vows
1,1,1,jihad
196,110,105,evil
75,53,47,putting
1,1,0,christianist
4,1,1,dystopia
119,190,160,definitely
42,92,88,entertaining
124,109,95,doesn
1,0,0,duuuh
10,4,4,manipulate
127,121,132,religion
53,27,51,holy
25,34,54,terror
30,6,10,sucks
34,43,43,interviews
24,23,29,anna
2,0,0,quindlen
43,46,64,explains
114,57,50,decides
112,103,89,issue
79,81,61,topic
15,14,12,builds
403,331,248,idea
34,46,60,creating
47,41,40,fill
484,441,409,around
255,185,194,authors
138,179,183,beginning
30,67,59,rise
17,6,15,shine
178,121,136,research
5,3,3,overwhelmingly
94,69,72,presented
324,178,179,simply
108,88,107,stand
95,74,111,battle
29,15,35,fought
40,13,5,contrived
108,77,68,forced
154,90,80,obvious
1,1,0,blasé
9,7,2,clichéd
59,43,21,repetitive
14,36,35,madness
13,15,17,overwhelming
108,89,128,above
3,2,1,mediocrity
85,88,103,york
58,83,70,central
147,211,220,social
25,36,43,commentary
55,50,48,build
1,1,0,throttled
57,26,37,weight
227,254,174,information
1,3,0,aliases
7,6,6,pseudonym
93,121,85,worked
46,26,29,conversations
1,0,0,pinpointing
34,49,30,storyline
8,5,1,interrupted
30,27,47,miles
13,14,6,flashbacks
60,49,34,conversation
52,60,56,fell
85,49,22,flat
6,3,1,dumping
24,12,5,rude
54,37,24,mistake
12,11,9,brutally
37,21,31,destroyed
45,44,45,memoir
67,90,84,travel
30,21,44,journal
5,5,4,gloomy
7,8,23,glorious
68,94,79,moments
235,219,218,called
5,2,0,ditched
77,116,97,background
183,245,304,important
286,261,275,case
118,122,135,writes
79,70,159,amazing
24,22,25,talented
3,11,7,eloquent
6,16,18,outstanding
31,35,50,smith
39,17,15,spell
1,6,0,mmmm
56,65,48,thanks
45,10,5,rant
237,75,72,hate
186,164,130,title
387,187,166,says
22,36,38,dramatic
64,61,43,escape
3,1,10,dinosaur
7,6,17,disappoint
31,10,23,virtually
1,0,0,dinos
141,158,144,action
333,216,148,either
49,19,13,halfway
26,17,4,skimmed
44,42,23,majority
26,29,14,depressing
23,10,9,crack
126,103,103,open
617,299,263,nothing
161,107,92,happens
37,47,58,importance
39,64,52,drama
27,22,33,exists
333,138,136,completely
8,5,4,glossed
932,740,772,over
114,28,6,poorly
14,8,14,satisfaction
45,12,15,whatsoever
286,242,199,seem
8,2,3,skips
583,404,477,right
136,185,131,parts
1,0,0,lunzie
42,37,52,meeting
1,0,0,sassinak
19,18,16,mundane
126,164,131,details
11,14,9,gathering
114,100,106,food
28,34,31,internal
12,7,10,monologue
44,31,28,wondering
115,177,139,group
16,9,7,react
1,0,0,dozenth
38,59,87,includes
149,134,119,deal
143,137,145,level
9,9,7,skilled
68,72,52,allowed
5,0,1,churn
99,111,88,due
702,672,789,own
4,6,9,creations
105,77,81,sad
111,84,70,force
6,2,5,trudge
118,76,64,add
86,47,51,goodreads
51,10,11,quit
18,30,32,comfortable
28,26,16,adding
18,23,27,adds
1,0,2,yearly
71,48,57,realized
273,92,54,supposed
186,160,129,non
228,270,257,fiction
8,3,10,feast
423,338,250,sure
167,218,132,nice
247,202,200,start
8,0,4,fabricated
9,13,6,egyptian
1,4,0,papyrus
48,35,47,letter
288,286,392,american
59,62,69,president
29,4,5,mentioning
5,10,9,giants
18,33,34,drawing
260,227,236,white
55,46,47,horse
15,8,7,horn
8,5,2,unicorn
343,220,158,problem
193,198,182,middle
30,41,44,ages
3,3,0,unicorns
19,17,15,depicted
1,0,0,cloven
1,0,0,hoves
186,259,248,sometimes
418,324,330,look
18,16,21,authentic
16,21,20,papers
34,12,9,treats
365,708,669,stories
2,0,0,sinbad
600,347,344,fact
58,42,53,cases
137,44,26,ridiculous
2,0,0,plesiosaur
17,15,7,dragged
55,77,96,japanese
1,0,3,fishermen
58,69,75,recently
10,4,10,confirmed
9,14,9,shark
80,69,72,according
116,177,180,knowledge
11,3,7,examined
1,0,0,rotted
35,13,12,threw
108,88,104,water
75,78,92,indeed
94,106,72,quickly
1,0,0,tuatara
3,5,0,lizard
100,49,37,claim
29,4,9,dragons
7,5,12,descended
1,0,0,theropod
3,1,11,dinosaurs
1,0,0,velociraptors
69,84,80,share
81,35,23,barely
3,6,2,resemblance
76,40,53,forget
483,284,187,maybe
1,2,0,nessie
12,16,8,route
105,82,70,consider
19,20,8,jason
2,1,0,argonauts
3,0,4,odysseus
2,1,0,hercules
4,2,3,predecessors
1,0,0,cryptozoologists
2,4,1,thai
7,3,6,statue
1,1,0,rooster
678,621,740,man
33,49,70,european
1,1,0,basilisk
17,14,10,technically
1,0,0,cockatrice
1,0,0,griffon
95,108,94,picture
153,84,58,obviously
157,84,70,totally
36,20,8,fake
5,9,14,wings
1,0,1,glide
61,76,55,odd
71,95,99,considered
85,69,55,effort
189,264,145,seemed
140,98,121,spent
15,14,22,drawings
139,195,231,living
40,40,50,beings
1,0,0,catoblepas
94,96,53,weird
148,116,166,eyes
1,0,0,leucrocuta
1,2,7,adjustments
9,7,8,designs
9,9,6,depict
166,122,78,actual
61,85,88,animals
11,17,16,evolved
2,1,0,harpies
2,2,1,mermaids
6,8,4,counterparts
15,19,7,werewolf
29,6,2,remotely
1,0,0,lupine
5,2,5,canine
205,148,165,matter
133,83,103,imagine
175,151,186,body
7,2,3,gorilla
1,1,1,paws
204,163,166,head
112,84,110,looks
56,46,52,constant
553,494,542,down
168,176,151,whether
169,142,158,taken
295,303,280,later
215,117,103,talk
1,1,0,nymphs
19,8,13,elves
2,2,0,faeries
1,1,3,dwarves
1,1,0,pixies
1,0,0,lephrechauns
2,0,0,banshees
1,0,0,orcs
1,0,1,goblins
1,0,0,gremlins
5,9,4,trolls
2,0,0,ogres
1,0,0,apemen
35,25,14,vampires
2,0,0,cryptozoology
72,77,78,surprised
11,26,21,satire
48,38,48,grade
5,7,6,makers
165,122,199,knew
79,59,34,silly
25,14,11,formula
36,61,48,indian
2,4,3,elevate
59,81,68,apart
552,166,137,sex
7,4,5,careless
32,12,7,smoking
51,73,41,topics
59,17,37,stick
282,244,295,true
2,0,2,masala
409,392,381,come
26,40,39,closer
141,138,155,english
29,23,20,proud
581,625,555,novel
46,29,21,teenage
176,65,91,hell
15,6,5,worthless
195,230,201,job
1,3,0,mumbai
21,13,14,aim
70,50,76,low
32,13,22,rated
1,0,0,evry
43,35,23,ill
1,0,0,writeen
454,342,310,whole
1,0,0,convience
22,21,44,worlds
65,53,26,fault
39,32,34,treat
1,0,0,remeber
45,47,73,song
1,0,0,dunniya
2,0,0,duniya
1,0,0,wale
85,100,77,admit
3,7,3,soothing
34,61,49,heavy
112,122,113,usually
25,25,22,curiosity
